total_score	I_sc	description
-768.138	-4.335	complex_global_dock_09671
-767.288	-4.334	complex_global_dock_09087
-768.015	-4.333	complex_global_dock_07451
-767.580	-4.332	complex_global_dock_02079
-768.284	-4.331	complex_global_dock_01222
-768.398	-4.330	complex_global_dock_03673
-769.612	-4.328	complex_global_dock_07359
-767.823	-4.326	complex_global_dock_02794
-768.035	-4.326	complex_global_dock_08872
-768.243	-4.326	complex_global_dock_00311
-768.376	-4.325	complex_global_dock_06907
-768.381	-4.325	complex_global_dock_05007
-768.828	-4.324	complex_global_dock_01112
-767.494	-4.323	complex_global_dock_00344
-768.803	-4.322	complex_global_dock_02535
-767.530	-4.321	complex_global_dock_06697
-768.259	-4.318	complex_global_dock_07703
-768.627	-4.315	complex_global_dock_01080
-767.512	-4.314	complex_global_dock_04060
-768.680	-4.314	complex_global_dock_06564
-767.780	-4.310	complex_global_dock_05054
-768.084	-4.310	complex_global_dock_04497
-768.593	-4.307	complex_global_dock_07005
-768.216	-4.306	complex_global_dock_03121
-766.949	-4.304	complex_global_dock_04358
-768.417	-4.301	complex_global_dock_05368
-767.310	-4.299	complex_global_dock_07245
-768.188	-4.299	complex_global_dock_02551
-768.504	-4.297	complex_global_dock_08890
-768.842	-4.297	complex_global_dock_03905
-767.296	-4.294	complex_global_dock_06543
-768.852	-4.294	complex_global_dock_06765
-767.930	-4.293	complex_global_dock_08653
-769.156	-4.293	complex_global_dock_05448
-768.471	-4.291	complex_global_dock_03291
-768.579	-4.290	complex_global_dock_03197
-767.654	-4.286	complex_global_dock_08561
-769.089	-4.286	complex_global_dock_06626
-768.545	-4.281	complex_global_dock_08720
-768.288	-4.277	complex_global_dock_04953
-767.650	-4.276	complex_global_dock_03529
-768.030	-4.276	complex_global_dock_03194
-768.640	-4.275	complex_global_dock_00897
-768.952	-4.275	complex_global_dock_00386
-766.891	-4.273	complex_global_dock_09356
-768.037	-4.268	complex_global_dock_06426
-768.330	-4.266	complex_global_dock_04549
-768.492	-4.265	complex_global_dock_08693
-768.946	-4.265	complex_global_dock_02854
-767.820	-4.261	complex_global_dock_03878
-768.063	-4.261	complex_global_dock_08255
-769.063	-4.261	complex_global_dock_02332
-768.026	-4.258	complex_global_dock_02780
-767.968	-4.257	complex_global_dock_06247
-768.520	-4.256	complex_global_dock_01172
-768.829	-4.255	complex_global_dock_02274
-768.571	-4.249	complex_global_dock_09992
-768.081	-4.248	complex_global_dock_01796
-767.872	-4.247	complex_global_dock_09546
-767.887	-4.246	complex_global_dock_06470
-768.873	-4.246	complex_global_dock_01364
-767.147	-4.245	complex_global_dock_00535
-767.836	-4.245	complex_global_dock_00760
-768.332	-4.244	complex_global_dock_01313
-769.497	-4.244	complex_global_dock_01683
-768.112	-4.243	complex_global_dock_03941
-768.950	-4.242	complex_global_dock_06645
-767.711	-4.240	complex_global_dock_06372
-769.398	-4.238	complex_global_dock_03864
-768.898	-4.236	complex_global_dock_02564
-768.955	-4.236	complex_global_dock_01526
-766.675	-4.235	complex_global_dock_07063
-768.368	-4.235	complex_global_dock_00218
-768.149	-4.233	complex_global_dock_08961
-767.823	-4.231	complex_global_dock_07603
-768.294	-4.231	complex_global_dock_08453
-767.577	-4.229	complex_global_dock_00683
-767.993	-4.229	complex_global_dock_07736
-768.362	-4.229	complex_global_dock_03853
-768.643	-4.227	complex_global_dock_06277
-765.038	-4.226	complex_global_dock_03769
-766.559	-4.226	complex_global_dock_07893
-765.215	-4.225	complex_global_dock_06731
-760.887	-4.224	complex_global_dock_01823
-768.075	-4.223	complex_global_dock_04119
-768.578	-4.222	complex_global_dock_07306
-767.784	-4.218	complex_global_dock_02237
-761.016	-4.216	complex_global_dock_02311
-768.190	-4.216	complex_global_dock_01597
-768.472	-4.215	complex_global_dock_06750
-769.017	-4.215	complex_global_dock_06761
